"18 x 9/16","EI 560","SS","15 (3 x 5)","0.572","0.562","1.050"1.296"1.144","0.706","0.826","0.766","0.200","0.800","0.900","0.040","","0.199","800-50","4.5","S00100""
"29 x 1 1/4","EI 100","SS","18 (3 x 6)","1.015","1.250","1.918","2.436","1.810","1.340","1.490","1.420","0.300","1.500","1.600","0.045","","0.406","800-40","77","S06000"
"29 x 1 1/4","EI 100","DS",18 (3 x 6)","1.015","1.250","1.918","2.436","1.810","1.340","1.490","1.420","0.300","1.500","1.600","0.045","0.648","0.406","","","S06100"
"29 x 1 1/4","EI 100","SDS","18 (3 x 6)","1.015","1.250","1.918","2.436","1.810","1.340","1.490","1.420","0.300","1.500","1.600","0.045","0.617","0.396","","","S06200"
"29 x 1 1/2","EI 100","SS","18 (3 x 6)","1.015","1.500","1.918","2.686","1.810","1.340","1.490","1.420","0.300","1.500","1.600","0.045","","0.406","800-40","90","S06500"
"29 x 1 1/2","EI 100","DS",18 (3 x 6)","1.015","1.500","1.918","2.686","1.810","1.340","1.490","1.420","0.300","1.500","1.600","0.045","0.648","0.406","","","S06600"
"29 x 1 1/2","EI 100","SDS","18 (3 x 6)","1.015","1.500","1.918","2.686","1.810","1.340","1.490","1.420","0.300","1.500","1.600","0.045","0.617","0.396","","","S06700"
"29 x 2","EI 100","SS","5 (1 x 5)","* 1.015","2.000","1.918","3.246","1.804","1.340","1.500","1.420","0.25","1.500","N/A",0.04","","0.406","","","VM0785"
"29 x 2","EI 100","DS",5 (1 x 5)","* 1.015","2.000","1.918","3.246","1.804","1.340","1.500","1.420","0.25","1.500","N/A",0.04","0.65","0.406","","","VM0784"
"29 x 2","EI 100","SDS","5 (1 x 5)","* 1.015","2.000","1.918","3.246","1.804","1.340","1.500","1.420","0.25","1.500","N/A",0.04","0.65","0.396","","","VM0783"
"196 x 1 1/8","EI 112","SS","18 (3 x 6)","1.140","1.125","2.150","2.435","1.975","1.535","1.675","1.615","0.300","1.500","1.800","0.045","","0.460","800-40","100","S07000"
"196 x 1 1/8","EI 112","DS",18 (3 x 6)","1.140","1.125","2.150","2.435","1.975","1.535","1.675","1.615","0.300","1.500","1.800","0.045","0.747","0.460","","","S07100"
"196 x 1 1/8","EI 112","SDS","18 (3 x 6)","1.140","1.125","2.150","2.435","1.975","1.535","1.675","1.615","0.300","1.500","1.800","0.045","0.714","0.450","","","S07200"
"78 x 1 1/4","EI 125","SS","24 (3 x 8)","1.270","1.250","2.400","2.700","2.200","1.714","1.854","1.794","0.300","2.100","2.000","0.050","0.500","800-40","134","S09000"
"78 x 1 1/4","EI 125","DS",24 (3 x 8)","1.270","1.250","2.400","2.700","2.200","1.714","1.854","1.794","0.300","2.100","2.000","0.050","0.837","0.500","","","S09100"
"78 x 1 1/4","EI 125","SDS","24 (3 x 8)","1.270","1.250","2.400","2.700","2.200","1.714","1.854","1.794","0.300","2.100","2.000","0.050","0.804","0.490","","","S09200"
